"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"23341",1434.44803163382,-0.0365463867560966,0.0673663675740747,0.442104711515709,0.694436915344307,"DNAJC16"
"84301",450.73018736912,0.00188533579067172,0.0734590217895564,0.968581399238224,0.98746036383188,"DDI2"
"6248",251.636545403174,-0.0540085806776152,0.0894503359390847,0.290593819088794,0.564517857916962,"RSC1A1"
"23207",7111.08444365506,0.00379310233098236,0.0583872997129431,0.932665749364113,0.971465865787226,"PLEKHM2"
"54751",1280.05062151396,0.0319924400945041,0.0784654502422208,0.513077707436799,0.747875150380056,"FBLIM1"
"440567",1507.59147437312,0.0179805396231487,0.0703054338510991,0.706175021582558,0.863279550038153,"UQCRHL"
"729614",526.662688287917,0.0565728144791144,0.0976010762089425,0.27445354555045,0.548583824262795,"SPEN-AS1"
"23013",17036.259413747,0.0498937256577994,0.0574519537503305,0.26532113674371,0.539743743339601,"SPEN"
"7709",3056.44092001199,0.050630168315216,0.0675808423725173,0.290715993318159,0.564683373514974,"ZBTB17"
"348487",443.343973727822,-0.0358495571527659,0.0878874323494261,0.46925800589142,0.716115075063583,"FAM131C"
"1969",717.55227681586,0.624553346999769,0.151221142292364,3.52601519789391e-07,9.44786493288309e-05,"EPHA2"
"128272",107.728883702493,0.0503638893534321,0.117725337951083,0.317331334501507,0.589454987796,"ARHGEF19"
"79363",557.666748277158,-0.0894284037512264,0.130799335234979,0.119244990927276,0.361641927409111,"CPLANE2"
"54455",4655.00628830646,-0.044352635956143,0.0532915676216281,0.302723472429787,0.57534486669672,"FBXO42"
"26099",5282.38242684835,0.10924553388034,0.0870822744255747,0.0468821360161998,0.228690789963405,"SZRD1"
"55707",617.728098179293,0.136059155129809,0.104448655815059,0.0252902860319361,0.166634399726385,"NECAP2"
"114819",289.304250115398,0.0481566981868839,0.121176987505183,0.331306697201138,0.601884998971449,"CROCCP3"
"102724970",102.914306862122,-0.0910095417612911,0.154804194061166,0.10382178994504,0.339526106951712,"102724970"
"100133301",35.191988405165,-0.0203572249552884,0.13009695883472,0.625643027381275,0.819365971290877,"100133301"
"55672",1837.82139170579,0.0618604674089089,0.0883725257610766,0.231450592122213,0.50549597143271,"NBPF1"
"84809",1216.14779862791,0.0651549859807014,0.0980291882696505,0.216867553385991,0.488671900688143,"CROCCP2"
"11209",59.3238886820326,0.0456325452963869,0.16413512873223,0.178109051119702,0.444486852573727,"MST1P2"
